Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
242,1.1,242-1.1,,,Total arrivals,,,Thousands,,VF,476,534,547,499,544,434,446,461,451,513,547,..,542,627,605,692,734,741,769,781,869,963,1027,1058,969,168,32,652,
246,0,246-0,FINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,1.1,246-1.1,,,Total arrivals,,,Thousands,1/,VF,..,..,..,3432,3363,3789,4252,4687,4527,4854,5038,5345,5736,6072,5695,6182,7260,7636,..,..,..,..,..,..,..,..,..,..,
250,0,250-0,FRANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,1.1,250-1.1,,,Total arrivals,,,Thousands,,VF,..,148263,157551,..,..,..,..,..,..,190282,185829,193882,193319,193571,192369,189826,196595,197522,204410,206599,203302,203042,207274,211998,217877,117109,141297,..,
254,0,254-0,FRENCH GUIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,1.1,254-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
258,0,258-0,FRENCH POLYNESIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,1.1,258-1.1,,,Total arrivals,,,Thousands,,VF,186,184,201,211,236,..,..,..,..,..,..,..,243,227,190,179,196,210,214,228,239,241,254,260,282,89,95,261.4,
266,0,266-0,GABON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,1.1,266-1.1,,,Total arrivals,,,Thousands,,VF,203,217,247,274,262,230,236,269,234,351,526,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
270,0,270-0,GAMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,1.1,270-1.1,,,Total arrivals,,,Thousands,,VF,..,..,..,..,..,..,..,..,..,459,460,613,487,643,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
268,0,268-0,GEORGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,1.1,268-1.1,,,Total arrivals,,,Thousands,,VF,85,117,313,317,384,387,302,298,313,368,560,983,1052,1290,1500,2032,2712,4106,4954,5004,5256,5393,6483,7203,7726,1513,1721,4704,
280,0,280-0,GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,1.1,280-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
288,0,288-0,GHANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,1.1,288-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
300,0,300-0,GREECE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,1.1,300-1.1,,,Total arrivals,,,Thousands,,VF,10712,9782,10588,11364,12606,13567,14678,14918,14785,14268,15938,17284,..,..,..,..,..,..,20112,24272,26114,28071,30161,33072,34005,7406,15246,29876,
308,0,308-0,GRENADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,1.1,308-1.1,,,Total arrivals,,,Thousands,,VF,369,386,368,392,379,316,277,271,294,370,380,342,406,428,460,445,447,370,327,387,437,474,468,529,526,217,72,335,
