Country,Arrival by mode of transport,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BULGARIA,Air,827.0,947.0,981.0,933.0,651.0,776.0,1008.0,1185.0,1409.0,1715.0,2007.0,2203.0,2318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULGARIA,Water,90.0,62.0,91.0,77.0,92.0,100.0,117.0,104.0,120.0,156.0,178.0,169.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULGARIA,Land,7088.0,5801.0,6471.0,4230.0,4313.0,4046.0,3979.0,4274.0,4712.0,5111.0,5097.0,5127.0,5197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BURKINA FASO,Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,102.0,97.0,95.0,103.0,109.0,133.0,54.0,94.5,112.0
BURUNDI,Air,14.0,11.0,3.0,6.0,10.0,12.0,14.0,18.0,17.0,39.0,49.0,49.0,44.0,46.0,49.0,33.0,31.0,41.0,92.0,86.0,46.0,74.0,89.0,0.0,0.0,0.0,0.0,0.0
BURUNDI,Water,1.0,1.0,1.0,1.0,2.0,2.0,3.0,21.0,21.0,46.0,49.0,38.0,35.0,36.0,38.0,25.0,26.0,14.0,21.0,26.0,13.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0
BURUNDI,Land,18.0,15.0,5.0,8.0,14.0,15.0,19.0,35.0,36.0,48.0,50.0,126.0,113.0,119.0,125.0,84.0,87.0,92.0,121.0,123.0,72.0,98.0,194.0,0.0,0.0,0.0,0.0,0.0
CABO VERDE,Air,28.0,37.0,45.0,52.0,67.0,83.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMBODIA,Air,220.0,260.0,219.0,186.0,263.0,351.0,408.0,523.0,456.0,626.0,857.0,1027.0,1297.0,1239.0,1112.0,1304.0,1481.0,1722.0,2018.0,2273.5,2476.0,2704.4,3312.7,4096.9,4404.0,756.3,99.8,791.6
CAMBODIA,Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,32.0,40.0,44.0,72.0,78.0,78.0,81.0,76.0,75.0,97.0,148.0,153.4,145.4,144.2,156.8,51.5,0.2,17.9
